Date,Package Number,Weight,Amount
31/05/2024 13:21:15,0,0,2.0
31/05/2024 13:21:19,1,0,2.0
31/05/2024 13:30:36,1,0,2.0
31/05/2024 13:31:13,0,0,5.0
31/05/2024 13:31:14,1,0,5.0
31/05/2024 13:31:15,2,0,5.0
31/05/2024 13:33:06,0,0,2.0
31/05/2024 13:33:07,1,0,2.0
31/05/2024 13:33:08,2,0,2.0
31/05/2024 13:34:02,0,0,2.0
31/05/2024 13:34:03,1,0,2.0
31/05/2024 13:34:03,2,0,2.0
31/05/2024 13:37:12,0,0,2.0
31/05/2024 13:37:14,1,0,2.0
31/05/2024 13:37:46,0,0,2.0
31/05/2024 13:37:48,1,0,2.0
31/05/2024 13:38:03,0,0,1.0
31/05/2024 13:38:05,1,0,1.0
31/05/2024 14:17:09,0,0,2.0
31/05/2024 14:17:11,1,0,2.0
31/05/2024 14:17:55,0,0,3.0
31/05/2024 14:17:56,1,0,3.0
31/05/2024 14:46:50,0,0,2.0
31/05/2024 14:46:52,1,0,2.0
31/05/2024 14:49:41,0,0,2.0
31/05/2024 14:49:41,1,0,2.0
31/05/2024 14:50:28,0,0,2.0
31/05/2024 14:50:29,1,0,2.0
31/05/2024 14:51:24,0,0,2.0
31/05/2024 14:51:25,1,0,2.0
